,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,Time[min],Time[min]
,,mean,std,mean,std,mean,std,mean,std,mean,std
Classifier,Granularity,,,,,,,,,,
AdaBoost,2.0,99.83050847457626,0.3789945724575911,100.0,0.0,99.58333333333333,0.9316949906249147,99.78947368421053,0.470751153157847,1.8160948333333335,0.09745015246986387
AdaBoost,3.0,99.83050847457626,0.3789945724575911,100.0,0.0,99.58333333333333,0.9316949906249147,99.78947368421053,0.470751153157847,1.8160844566666667,0.09745634193763127
AdaBoost,4.0,99.83050847457626,0.3789945724575911,100.0,0.0,99.58333333333333,0.9316949906249147,99.78947368421053,0.470751153157847,1.8160757733333335,0.09745875726000411
Decision Tree,2.0,99.4929497222618,0.4628805887104813,99.59183673469389,0.912680807142773,99.16666666666666,1.1410886614690972,99.37276180141075,0.5726560691704546,1.8159508266666666,0.09745530980633271
Decision Tree,3.0,99.49152542372882,0.7579891449151814,100.0,0.0,98.75,1.8633899812498245,99.36394176931691,0.9502786619887383,1.8159503833333333,0.09745552184479885
Decision Tree,4.0,99.83050847457626,0.3789945724575911,100.0,0.0,99.58333333333333,0.9316949906249147,99.78947368421053,0.470751153157847,1.8159505166666665,0.09745535482853515
Gaussian Process,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.81602833,0.09744021137472039
Gaussian Process,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8160486200000003,0.09748727627997951
Gaussian Process,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8160580733333334,0.09743680784513528
Linear SVM,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159522833333337,0.09745636134469862
Linear SVM,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159518566666668,0.09745565883967323
Linear SVM,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159517233333335,0.09745550700630116
Naive Bayes,2.0,99.32488249537104,0.37741895553162635,100.0,0.0,98.33333333333334,0.9316949906249132,99.15789473684212,0.4707511531578464,1.81595207,0.09745550973787802
Naive Bayes,3.0,99.32488249537104,0.37741895553162635,100.0,0.0,98.33333333333334,0.9316949906249132,99.15789473684212,0.4707511531578464,1.81595167,0.09745567018215515
Naive Bayes,4.0,99.32488249537104,0.37741895553162635,100.0,0.0,98.33333333333334,0.9316949906249132,99.15789473684212,0.4707511531578464,1.8159516433333336,0.09745542013898198
Nearest Neighbors,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8160370466666667,0.09746142518724073
Nearest Neighbors,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8160299033333334,0.09745671411804842
Nearest Neighbors,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8160357166666667,0.09745151573312837
Neural Net,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159549766666667,0.0974556026086471
Neural Net,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159712433333337,0.09744509437740964
Neural Net,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159556666666667,0.09745495124960232
QDA,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159520533333335,0.09745551915538726
QDA,3.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159522966666668,0.09745514012344604
QDA,4.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,1.8159515466666671,0.09745547088125053
RBF SVM,2.0,70.09257940464322,4.3305251741978505,100.0,0.0,26.25,10.478980283299409,40.6554846151463,14.00344102656375,1.8159776500000002,0.09745744954017613
RBF SVM,3.0,70.09257940464322,4.3305251741978505,100.0,0.0,26.25,10.478980283299409,40.6554846151463,14.00344102656375,1.8159798200000001,0.09746434025090948
RBF SVM,4.0,70.09257940464322,4.3305251741978505,100.0,0.0,26.25,10.478980283299409,40.6554846151463,14.00344102656375,1.8159745766666668,0.09745625737897656
Random Forest,2.0,99.15396667141432,0.5992514981310734,100.0,0.0,97.91666666666666,1.4731391274719696,98.94288913773795,0.7522662614153721,1.8161133699999998,0.0974541490978761
Random Forest,3.0,98.98589944452357,0.7056497309140515,100.0,0.0,97.5,1.7430417219459915,98.7278835386338,0.8914223964052913,1.816104,0.09745535074348642
Random Forest,4.0,98.64834069220908,1.1314368824095633,100.0,0.0,96.66666666666666,2.7950849718747355,98.28862478777589,1.4477305881494118,1.8161103966666667,0.09746847054114076
